staging_url,intended_production_url,object_type,object_id,title,slug,canonical,indexable_after_launch,sitemap_expected,notes
https://staging2.braveheartspublishing.com/blog/tag/books-for-second-graders/,https://www.braveheartspublishing.com/blog/tag/books-for-second-graders/,post_tag,42,books for second graders,books-for-second-graders,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-for-struggling-readers/,https://www.braveheartspublishing.com/blog/tag/books-for-struggling-readers/,post_tag,75,books for struggling readers,books-for-struggling-readers,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/tag/books-like-dog-man/,https://www.braveheartspublishing.com/blog/tag/books-like-dog-man/,post_tag,181,books like dog man,books-like-dog-man,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/books-like-magic-tree-house/,https://www.braveheartspublishing.com/blog/tag/books-like-magic-tree-house/,post_tag,79,books like magic tree house,books-like-magic-tree-house,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/brave-hearts-publishing/,https://www.braveheartspublishing.com/blog/tag/brave-hearts-publishing/,post_tag,83,Brave Hearts Publishing,brave-hearts-publishing,,no,review,count=7
https://staging2.braveheartspublishing.com/blog/tag/bridge-books/,https://www.braveheartspublishing.com/blog/tag/bridge-books/,post_tag,37,Bridge Books,bridge-books,,no,review,count=15
https://staging2.braveheartspublishing.com/blog/tag/bridge-books-for-kids/,https://www.braveheartspublishing.com/blog/tag/bridge-books-for-kids/,post_tag,97,bridge books for kids,bridge-books-for-kids,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/tag/bridge-books-for-struggling-readers/,https://www.braveheartspublishing.com/blog/tag/bridge-books-for-struggling-readers/,post_tag,89,bridge books for struggling readers,bridge-books-for-struggling-readers,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/bridge-books-from-graphic-novels/,https://www.braveheartspublishing.com/blog/tag/bridge-books-from-graphic-novels/,post_tag,184,bridge books from graphic novels,bridge-books-from-graphic-novels,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/captain-underpants-books/,https://www.braveheartspublishing.com/blog/tag/captain-underpants-books/,post_tag,185,captain underpants books,captain-underpants-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/chapter-books-for-beginners/,https://www.braveheartspublishing.com/blog/tag/chapter-books-for-beginners/,post_tag,96,chapter books for beginners,chapter-books-for-beginners,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/chapter-books-for-kids/,https://www.braveheartspublishing.com/blog/tag/chapter-books-for-kids/,post_tag,39,chapter books for kids,chapter-books-for-kids,,no,review,count=4
https://staging2.braveheartspublishing.com/blog/tag/charlotte-and-henry/,https://www.braveheartspublishing.com/blog/tag/charlotte-and-henry/,post_tag,82,Charlotte and Henry,charlotte-and-henry,,no,review,count=4
https://staging2.braveheartspublishing.com/blog/tag/charlotte-and-henry-books/,https://www.braveheartspublishing.com/blog/tag/charlotte-and-henry-books/,post_tag,195,Charlotte and Henry Books,charlotte-and-henry-books,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/childrens-book-author/,https://www.braveheartspublishing.com/blog/tag/childrens-book-author/,post_tag,193,Children's Book Author,childrens-book-author,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/childrens-book-review/,https://www.braveheartspublishing.com/blog/tag/childrens-book-review/,post_tag,132,children's book review,childrens-book-review,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/childrens-books/,https://www.braveheartspublishing.com/blog/tag/childrens-books/,post_tag,67,Children's Books,childrens-books,,no,review,count=3
https://staging2.braveheartspublishing.com/blog/tag/childrens-reading-stages/,https://www.braveheartspublishing.com/blog/tag/childrens-reading-stages/,post_tag,99,children's reading stages,childrens-reading-stages,,no,review,count=1
https://staging2.braveheartspublishing.com/blog/tag/classroom-read-aloud/,https://www.braveheartspublishing.com/blog/tag/classroom-read-aloud/,post_tag,63,classroom read aloud,classroom-read-aloud,,no,review,count=2
https://staging2.braveheartspublishing.com/blog/tag/classroom-resources/,https://www.braveheartspublishing.com/blog/tag/classroom-resources/,post_tag,140,classroom resources,classroom-resources,,no,review,count=2
